model_name,model_path,bleu,rougeL,rouge1,rouge2,sari,avg_jaccard_train_output,error,model_name_old,Sweep ID,Origin Folder,Dataset,Model Size,Metric Type,metric_epoch,metric_loss,metric_rouge1,metric_rouge2,metric_rougeL,metric_rougeLsum,metric_sari,metric_step,config_architectures,config_d_model,config_name_or_path,config_num_heads,config_num_layers,train_eval_batch_size,train_learning_rate,train_lr_scheduler,train_num_epochs,train_optimizer,train_train_batch_size,train_weight_decay,model_path_normalized
,,,,,,,,,optuna_sweep_checkpoints/run-10,1.0,,medical,t5-base,SARI,1.0,1.981526494026184,,,,,41.09430746071669,1913.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,5.555661037964472e-06,constant_with_warmup,7.0,adamw_torch,16.0,0.0025776208749283,D:\trained_models\optuna_sweep_checkpoints\run-10
,,,,,,,,,optuna_sweep_checkpoints/run-8,1.0,,medical,t5-base,SARI,2.0,2.450359344482422,,,,,40.85265436703259,3826.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,5.817505863786603e-05,constant_with_warmup,5.0,adamw_torch,16.0,0.0702514116285212,D:\trained_models\optuna_sweep_checkpoints\run-8
,,,,,,,,,optuna_sweep_checkpoints/run-4,1.0,,medical,t5-base,SARI,2.0,2.973839521408081,,,,,40.30100987299826,3826.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,0.0001373745315955,cosine,10.0,adamw_torch,16.0,0.0650413712408578,D:\trained_models\optuna_sweep_checkpoints\run-4
,,,,,,,,,optuna_sweep_checkpoints/run-3,1.0,,medical,t5-base,SARI,2.0,2.542973041534424,,,,,39.945438297989966,3826.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,7.364990840353895e-05,cosine,9.0,adamw_torch,16.0,0.0538235593202658,D:\trained_models\optuna_sweep_checkpoints\run-3
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-3,5.0,,wikilarge,t5-small,SARI,4.0,1.3023889064788818,,,,,52.94708016500063,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0007185024523776,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-3
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-1,5.0,,wikilarge,t5-small,SARI,4.0,1.310172438621521,,,,,52.588062803140105,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0005432038045445,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-1
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-0,4.0,,wikilarge,t5-small,SARI,3.0,1.348846197128296,,,,,52.26570204272467,3489.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001738162511344,constant_with_warmup,4.0,adamw_torch,64.0,0.053631944255332,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-0
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-13,4.0,,wikilarge,t5-small,SARI,4.0,1.339667558670044,,,,,51.99890487440205,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0002481586693162,linear,4.0,adamw_torch,64.0,0.0616754459424142,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-13
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-7,4.0,,wikilarge,t5-small,SARI,5.0,1.3605965375900269,,,,,51.94089784971977,5815.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001267742672752,linear,5.0,adamw_torch,64.0,0.0910956045234051,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-7
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-19,4.0,,wikilarge,t5-small,SARI,4.0,1.3371562957763672,,,,,51.88713655758272,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0002624158149365,cosine,4.0,adamw_torch,64.0,0.041609877928716,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-19
